STATE_NAME,MEDIUM_x,MEDIUM_y,MICRO_x,MICRO_y,SMALL_x,SMALL_y
ANDAMAN AND NICOBAR ISLANDS,7,6,3905,2884,140,111
ANDHRA PRADESH,1030,422,153814,115320,10599,5799
ARUNACHAL PRADESH,11,6,2172,1201,99,53
ASSAM,309,200,65544,41051,3345,2182
BIHAR,413,245,247394,167835,5226,3908
CHANDIGARH,134,76,11435,9010,1007,687
CHHATTISGARH,566,257,74058,58905,4580,2726
DADAR AND NAGAR HAVELI,82,3,3730,2511,419,98
DAMAN AND DIU,56,2,1626,892,295,35
DELHI,2594,1399,166761,106599,19400,10080
GOA,91,40,11556,8963,713,428
GUJARAT,4168,1164,496564,283123,38098,12067
HARYANA,1696,582,213404,147956,16387,7231
HIMACHAL PRADESH,238,26,28509,21730,1559,613
JAMMU AND KASHMIR,148,62,73438,47434,1854,1145
JHARKHAND,308,170,97726,74753,3492,2357
KARNATAKA,2106,987,350026,248728,18996,10468
KERALA,785,397,147692,98110,8856,5305
LADAKH,0,0,2340,1652,49,32
LAKSHADWEEP,0,0,150,114,0,0
MADHYA PRADESH,1045,397,264197,194520,12190,6634
MAHARASHTRA,6377,2797,1305092,962520,49991,25367
MANIPUR,10,9,21076,10051,247,175
MEGHALAYA,21,11,1828,1286,147,89
MIZORAM,8,8,2942,2002,74,52
NAGALAND,4,2,2875,1757,53,23
ODISHA,463,281,116968,87502,5412,3798
PUDUCHERRY,52,22,9041,6637,486,260
PUNJAB,1269,337,212134,141714,12334,5021
RAJASTHAN,1672,616,501175,328406,19456,8952
SIKKIM,8,8,1382,1073,56,39
TAMIL NADU,2879,1050,668147,431053,30634,13954
TELANGANA,1649,713,199030,150812,12540,6783
TRIPURA,17,9,6103,3556,252,163
UTTAR PRADESH,2112,914,486415,326045,21530,11567
UTTARAKHAND,283,79,54666,39722,2618,1237
WEST BENGAL,1631,772,167593,111856,14088,7657
